signal,width,TC,HD_sum,T0,T1,TX,begin_time,end_time,timescale_unit
tb.clk,1,400000,400000,500000000000,500000000000,0,0,1000000000000,s
tb.uut.i_clk,1,400000,400000,500000000000,500000000000,0,0,1000000000000,s
tb.uut.gen_banks(0).bank.i_clk,1,400000,400000,500000000000,500000000000,0,0,1000000000000,s
tb.uut.gen_banks(1).bank.i_clk,1,400000,400000,500000000000,500000000000,0,0,1000000000000,s
tb.uut.gen_banks(2).bank.i_clk,1,400000,400000,500000000000,500000000000,0,0,1000000000000,s
tb.uut.gen_banks(3).bank.i_clk,1,400000,400000,500000000000,500000000000,0,0,1000000000000,s
tb.write_data[31:0],32,799,799,0,0,0,0,1000000000000,s
tb.uut.i_write_data[31:0],32,799,799,0,0,0,0,1000000000000,s
tb.uut.gen_banks(0).bank.i_write_data[31:0],32,799,799,0,0,0,0,1000000000000,s
tb.uut.gen_banks(1).bank.i_write_data[31:0],32,799,799,0,0,0,0,1000000000000,s
tb.uut.gen_banks(2).bank.i_write_data[31:0],32,799,799,0,0,0,0,1000000000000,s
tb.uut.gen_banks(3).bank.i_write_data[31:0],32,799,799,0,0,0,0,1000000000000,s
tb.read_data[31:0],32,480,480,0,0,5000000,0,1000000000000,s
tb.uut.o_read_data[31:0],32,480,480,0,0,5000000,0,1000000000000,s
tb.address[11:0],12,110,110,0,0,0,0,1000000000000,s
tb.uut.i_address[11:0],12,110,110,0,0,0,0,1000000000000,s
tb.uut.gen_banks(0).bank.o_read_data[31:0],32,96,96,0,0,5000000,0,1000000000000,s
tb.uut.gen_banks(2).bank.o_read_data[31:0],32,64,64,0,0,5000000,0,1000000000000,s
tb.uut.gen_banks(0).bank.i_address[9:0],10,59,59,0,0,0,0,1000000000000,s
tb.uut.gen_banks(1).bank.i_address[9:0],10,59,59,0,0,0,0,1000000000000,s
tb.uut.gen_banks(2).bank.i_address[9:0],10,59,59,0,0,0,0,1000000000000,s
tb.uut.gen_banks(3).bank.i_address[9:0],10,59,59,0,0,0,0,1000000000000,s
tb.uut.clk_enable[0:3],4,52,52,0,0,5000000,0,1000000000000,s
tb.uut.sel_d[1:0],2,50,50,0,0,25000000,0,1000000000000,s
tb.uut.gen_banks(1).bank.o_read_data[31:0],32,32,32,0,0,5000000,0,1000000000000,s
tb.uut.gen_banks(3).bank.o_read_data[31:0],32,32,32,0,0,5000000,0,1000000000000,s
tb.state[1:0],2,22,22,0,0,0,0,1000000000000,s
tb.uut.i_state[1:0],2,22,22,0,0,0,0,1000000000000,s
tb.write_enable,1,16,16,999780000000,220000000,0,0,1000000000000,s
tb.uut.i_write_enable,1,16,16,999780000000,220000000,0,0,1000000000000,s
tb.uut.gen_banks(0).bank.i_clk_enable,1,16,16,999925000000,70000000,0,0,1000000000000,s
tb.uut.gen_banks(3).bank.i_clk_enable,1,16,16,999945000000,50000000,0,0,1000000000000,s
tb.uut.gen_banks(0).bank.i_write_enable,1,12,12,999935000000,60000000,0,0,1000000000000,s
tb.uut.gen_banks(0).bank.i_read_enable,1,12,12,999925000000,70000000,0,0,1000000000000,s
tb.uut.gen_banks(1).bank.i_clk_enable,1,12,12,999940000000,55000000,0,0,1000000000000,s
tb.uut.gen_banks(1).bank.i_write_enable,1,12,12,999935000000,60000000,0,0,1000000000000,s
tb.read_enable,1,8,8,999780000000,220000000,0,0,1000000000000,s
tb.uut.i_read_enable,1,8,8,999780000000,220000000,0,0,1000000000000,s
tb.uut.gen_banks(1).bank.i_read_enable,1,8,8,999945000000,50000000,0,0,1000000000000,s
tb.uut.gen_banks(2).bank.i_clk_enable,1,8,8,999945000000,50000000,0,0,1000000000000,s
tb.uut.gen_banks(2).bank.i_write_enable,1,8,8,999945000000,50000000,0,0,1000000000000,s
tb.uut.gen_banks(2).bank.i_read_enable,1,8,8,999945000000,50000000,0,0,1000000000000,s
tb.uut.gen_banks(3).bank.i_write_enable,1,8,8,999945000000,50000000,0,0,1000000000000,s
tb.uut.gen_banks(3).bank.i_read_enable,1,8,8,999945000000,50000000,0,0,1000000000000,s
tb.uut.gen_banks(0).bank.i_state,1,7,7,999750000000,250000000,0,0,1000000000000,s
tb.uut.gen_banks(1).bank.i_state,1,7,7,999750000000,250000000,0,0,1000000000000,s
tb.uut.gen_banks(2).bank.i_state,1,7,7,999750000000,250000000,0,0,1000000000000,s
tb.uut.gen_banks(3).bank.i_state,1,7,7,999750000000,250000000,0,0,1000000000000,s
tb.nrst,1,3,3,20000000,999980000000,0,0,1000000000000,s
tb.uut.i_nrst,1,3,3,20000000,999980000000,0,0,1000000000000,s
tb.uut.gen_banks(0).bank.i_nrst,1,3,3,20000000,999980000000,0,0,1000000000000,s
tb.uut.gen_banks(1).bank.i_nrst,1,3,3,20000000,999980000000,0,0,1000000000000,s
tb.uut.gen_banks(2).bank.i_nrst,1,3,3,20000000,999980000000,0,0,1000000000000,s
tb.uut.gen_banks(3).bank.i_nrst,1,3,3,20000000,999980000000,0,0,1000000000000,s
