signal,width,TC,HD_sum,T0,T1,TX,Energy_J,Power_W,VDD_V,Ceff_F
tb.uut.i_clk,1,200000,200000,500000000000,500000000000,0,5.76e-10,5.76e-07,1.2,2e-15
tb.uut.gen_banks(3).bank.i_clk,1,200000,200000,500000000000,500000000000,0,5.76e-10,5.76e-07,1.2,2e-15
tb.uut.gen_banks(1).bank.i_clk,1,200000,200000,500000000000,500000000000,0,5.76e-10,5.76e-07,1.2,2e-15
tb.uut.gen_banks(2).bank.i_clk,1,200000,200000,500000000000,500000000000,0,5.76e-10,5.76e-07,1.2,2e-15
tb.uut.gen_banks(0).bank.i_clk,1,200000,200000,500000000000,500000000000,0,5.76e-10,5.76e-07,1.2,2e-15
tb.uut.i_write_data[31:0],32,393,393,0,0,0,1.1318400000000002e-12,1.13184e-09,1.2,2e-15
tb.uut.gen_banks(2).bank.i_write_data[31:0],32,393,393,0,0,0,1.1318400000000002e-12,1.13184e-09,1.2,2e-15
tb.uut.gen_banks(0).bank.i_write_data[31:0],32,393,393,0,0,0,1.1318400000000002e-12,1.13184e-09,1.2,2e-15
tb.uut.gen_banks(3).bank.i_write_data[31:0],32,393,393,0,0,0,1.1318400000000002e-12,1.13184e-09,1.2,2e-15
tb.uut.gen_banks(1).bank.i_write_data[31:0],32,393,393,0,0,0,1.1318400000000002e-12,1.13184e-09,1.2,2e-15
tb.uut.o_read_data[31:0],32,240,240,0,0,5000000,6.912000000000001e-13,6.912000000000002e-10,1.2,2e-15
tb.uut.i_address[11:0],12,54,54,0,0,0,1.5552e-13,1.5552e-10,1.2,2e-15
tb.uut.gen_banks(0).bank.o_read_data[31:0],32,48,48,0,0,5000000,1.3824e-13,1.3824e-10,1.2,2e-15
tb.uut.gen_banks(2).bank.o_read_data[31:0],32,32,32,0,0,5000000,9.216000000000001e-14,9.216000000000001e-11,1.2,2e-15
tb.uut.gen_banks(1).bank.i_address[9:0],10,29,29,0,0,0,8.352000000000001e-14,8.352e-11,1.2,2e-15
tb.uut.gen_banks(2).bank.i_address[9:0],10,29,29,0,0,0,8.352000000000001e-14,8.352e-11,1.2,2e-15
tb.uut.gen_banks(3).bank.i_address[9:0],10,29,29,0,0,0,8.352000000000001e-14,8.352e-11,1.2,2e-15
tb.uut.gen_banks(0).bank.i_address[9:0],10,29,29,0,0,0,8.352000000000001e-14,8.352e-11,1.2,2e-15
tb.uut.clk_enable[0:3],4,26,26,0,0,5000000,7.488e-14,7.488e-11,1.2,2e-15
tb.uut.sel_d[1:0],2,25,25,0,0,25000000,7.2e-14,7.2e-11,1.2,2e-15
tb.uut.gen_banks(1).bank.o_read_data[31:0],32,16,16,0,0,5000000,4.6080000000000004e-14,4.6080000000000004e-11,1.2,2e-15
tb.uut.gen_banks(3).bank.o_read_data[31:0],32,16,16,0,0,5000000,4.6080000000000004e-14,4.6080000000000004e-11,1.2,2e-15
